City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto san carlos,-12.6608,-63.55,302.52,73,96,1.39,BO,1701711539
1,papatowai,-46.5619,169.4708,279.86,74,18,1.67,NZ,1701711540
2,lihue,21.977,-159.3688,294.84,86,75,2.06,US,1701711540
3,edinburgh of the seven seas,-37.0676,-12.3108,289.48,94,51,8.79,SH,1701711541
4,tiksi,71.6366,128.8685,240.52,96,97,3.23,RU,1701711542
5,adamstown,-25.0667,-130.1002,295.59,79,38,5.8,PN,1701711543
6,port-aux-francais,-49.3498,70.22,277.27,72,37,12.25,FR,1701711544
7,longyearbyen,78.2232,15.6464,268.3,74,75,9.26,NO,1701711545
8,waitangi,-35.2705,174.0805,291.24,92,100,1.77,NZ,1701711545
9,belle chasse,29.8549,-89.9906,291.94,55,40,4.12,US,1701711546
10,bilibino,68.055,166.4449,247.91,99,100,1.01,RU,1701711547
11,puerto armuelles,8.2726,-82.8604,300.01,68,93,1.34,PA,1701711548
12,khorixas,-20.3738,14.9604,299.25,51,100,3.88,NA,1701711548
13,'ohonua,-21.3413,-174.9561,298.19,81,18,7.1,TO,1701711549
14,itoman,26.106,127.6861,293.94,88,98,5.66,JP,1701711550
15,breves,-1.6804,-50.4791,305.37,50,100,2.54,BR,1701711550
16,tan-tan,28.4376,-11.0987,296.1,56,0,5.66,MA,1701711551
17,waimea,20.0205,-155.6639,291.8,86,10,3.13,US,1701711552
18,kapuskasing,49.4167,-82.4333,262.15,67,20,1.03,CA,1701711552
19,klyuchi,56.3182,160.8422,260.29,78,87,1.44,RU,1701711553
20,ushuaia,-54.8061,-68.3185,284.98,71,75,7.72,AR,1701711554
21,grytviken,-54.2806,-36.5098,274.7,64,47,5.74,GS,1701711554
22,west island,-12.1459,96.8423,299.18,78,77,4.63,AU,1701711555
23,thompson,55.7433,-97.8635,267.25,93,100,2.06,CA,1701711556
24,kodiak,57.79,-152.4072,278.88,87,100,9.26,US,1701711556
25,bethel,60.7922,-161.7558,265.34,93,100,4.12,US,1701711557
